"Id";"Riferimento";"Contenitore";"Quantità";"Valore";"Produttore";
1;"R4";"R_0402_1005Metric";1;"330";;;
2;"D1";"LED_0402_1005Metric";1;"LED";;;
3;"J9,J8,J7,J6";"MountingHole_3.2mm_M3";4;"Hole";;;
4;"L1";"L_Bourns-SRN4018";1;"1.2uH";;;
5;"R1";"R_0402_1005Metric";1;"510k";;;
6;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Mode";;;
7;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"ON";;;
8;"OUT";"PinHeader_1x02_P2.54mm_Vertical";1;"OUT";;;
9;"C3";"C_0402_1005Metric";1;"100nF";;;
10;"C2";"CP_EIA-7343-20_Kemet-V";1;"22uF";;;
11;"C1";"C_0805_2012Metric";1;"10uF";;;
12;"U1";"DFN300X300X80-11N";1;"MAX8815AETB+";;;
13;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"500k";;;
14;"R3";"R_0402_1005Metric";1;"100";;;
15;"R2";"R_0402_1005Metric";1;"330k";;;
16;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"TYPE";;;
17;"IN";"PinHeader_1x02_P2.54mm_Vertical";1;"IN";;;
